source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.625,,False,,PASSED,,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_0.vnnlib,"[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/lsnc_relu/per_instance_lsnc_relu_20260525T144207515753Z.json
cpu,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.612,,False,,PASSED,,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_1.vnnlib,"[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/lsnc_relu/per_instance_lsnc_relu_20260525T144211010807Z.json
cpu,10,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,58.879,UNKNOWN_TIMEOUT,True,True,FAILED,838.36328125,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_10.vnnlib,[],[],[],"watchdog killed instance after 58.9s (status=UNKNOWN_TIMEOUT, peak_rss=838.4 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/lsnc_relu/per_instance_lsnc_relu_watchdog_iid10_20260525T144338870390Z.json
cpu,11,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,97.826,UNKNOWN_TIMEOUT,True,True,FAILED,0.49609375,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_11.vnnlib,[],[],[],"watchdog killed instance after 97.8s (status=UNKNOWN_TIMEOUT, peak_rss=0.5 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/lsnc_relu/per_instance_lsnc_relu_watchdog_iid11_20260525T144618307690Z.json
cpu,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.759,,False,,PASSED,,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_12.vnnlib,"[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/lsnc_relu/per_instance_lsnc_relu_20260525T144622381761Z.json
cpu,13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.594,,False,,PASSED,,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_13.vnnlib,"[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/lsnc_relu/per_instance_lsnc_relu_20260525T144627441568Z.json
cpu,14,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.607,,False,,PASSED,,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_14.vnnlib,"[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/lsnc_relu/per_instance_lsnc_relu_20260525T144630922933Z.json
cpu,15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.582,,False,,PASSED,,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_15.vnnlib,"[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/lsnc_relu/per_instance_lsnc_relu_20260525T144634338773Z.json
cpu,16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.632,,False,,PASSED,,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_16.vnnlib,"[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/lsnc_relu/per_instance_lsnc_relu_20260525T144637922662Z.json
cpu,17,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.64,,False,,PASSED,,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_17.vnnlib,"[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN"",""UNKNOWN""]","[null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/lsnc_relu/per_instance_lsnc_relu_20260525T144641436931Z.json
