source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu_smoke,0,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,16.509,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,17565.3359375,./onnx/6cnn_tz_35_5_no_custom_OP.onnx,./vnnlib/spec_idx_176_eps_0.00001000.vnnlib,[],[],[],"watchdog killed instance after 16.5s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=17565.3 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid0_20260526T011853774059Z.json
cpu_smoke,1,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,33.128,,False,,PASSED,,./onnx/4cnn_tz_65_10_no_custom_OP.onnx,./vnnlib/spec_idx_79_eps_0.00001000.vnnlib,"[""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED""]","[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/metaroom_2023/per_instance_metaroom_2023_20260526T011928929831Z.json
cpu_smoke,2,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,15.511,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,16839.20703125,./onnx/6cnn_tz_65_10_no_custom_OP.onnx,./vnnlib/spec_idx_196_eps_0.00001000.vnnlib,[],[],[],"watchdog killed instance after 15.5s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=16839.2 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid2_20260526T011945306309Z.json
cpu_smoke,3,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,15.812,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,17550.34765625,./onnx/6cnn_ry_30_5_no_custom_OP.onnx,./vnnlib/spec_idx_114_eps_0.00000436.vnnlib,[],[],[],"watchdog killed instance after 15.8s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=17550.3 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid3_20260526T012001119643Z.json
cpu_smoke,4,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,32.164,,False,,PASSED,,./onnx/4cnn_ry_47_7_no_custom_OP.onnx,./vnnlib/spec_idx_23_eps_0.00000436.vnnlib,"[""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED""]","[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/metaroom_2023/per_instance_metaroom_2023_20260526T012035358344Z.json
full_r3,10,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,39.376,,False,,PASSED,,./onnx/4cnn_ry_34_5_no_custom_OP.onnx,./vnnlib/spec_idx_12_eps_0.00000436.vnnlib,"[""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED""]","[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_20260526T030203839282Z.json
full_r3,11,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,33.598,,False,,PASSED,,./onnx/4cnn_tz_37_6_no_custom_OP.onnx,./vnnlib/spec_idx_61_eps_0.00001000.vnnlib,"[""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED""]","[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_20260526T030240563877Z.json
full_r3,12,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,19.314,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,26132.54296875,./onnx/6cnn_tz_114_19_no_custom_OP.onnx,./vnnlib/spec_idx_160_eps_0.00001000.vnnlib,[],[],[],"watchdog killed instance after 19.3s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=26132.5 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid12_20260526T030300665520Z.json
full_r3,13,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,34.317,,False,,PASSED,,./onnx/4cnn_tz_31_5_no_custom_OP.onnx,./vnnlib/spec_idx_57_eps_0.00001000.vnnlib,"[""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED""]","[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_20260526T030337164943Z.json
full_r3,14,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,19.314,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,25382.59765625,./onnx/6cnn_ry_93_15_no_custom_OP.onnx,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,[],[],[],"watchdog killed instance after 19.3s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=25382.6 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/metaroom_2023/per_instance_metaroom_2023_watchdog_iid14_20260526T030357506456Z.json
