source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.497,,False,,PASSED,,./onnx/14_ieee_ml4acopf-linear-residual.onnx,./vnnlib/14_ieee_prop9.vnnlib,"[""UNKNOWN"",""UNSAT""]","[""UNKNOWN"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/ml4acopf_2024/per_instance_ml4acopf_2024_20260525T145028522066Z.json
cpu,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.474,,False,,PASSED,,./onnx/14_ieee_ml4acopf-linear-residual.onnx,./vnnlib/14_ieee_prop7.vnnlib,"[""UNKNOWN"",""UNSAT""]","[""UNKNOWN"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/ml4acopf_2024/per_instance_ml4acopf_2024_20260525T145031500685Z.json
cpu,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,38.327,,False,,PASSED,,./onnx/14_ieee_ml4acopf-linear-residual.onnx,./vnnlib/14_ieee_prop3.vnnlib,"[""UNKNOWN"",""UNSAT"",""UNKNOWN"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNKNOWN"",""UNSAT"",""UNKNOWN"",""UNSAT"",""UNKNOWN"",""UNSAT"",""UNKNOWN"",""UNSAT"",""UNKNOWN"",""UNSAT""]","[""UNKNOWN"",""CERTIFIED"",""UNKNOWN"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""UNKNOWN"",""CERTIFIED"",""UNKNOWN"",""CERTIFIED"",""UNKNOWN"",""CERTIFIED"",""UNKNOWN"",""CERTIFIED"",""UNKNOWN"",""CERTIFIED""]","[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/ml4acopf_2024/per_instance_ml4acopf_2024_20260525T145334981191Z.json
cpu,11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.474,,False,,PASSED,,./onnx/14_ieee_ml4acopf-linear-residual.onnx,./vnnlib/14_ieee_prop14.vnnlib,"[""UNKNOWN"",""UNSAT""]","[""UNKNOWN"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/ml4acopf_2024/per_instance_ml4acopf_2024_20260525T145338191503Z.json
cpu,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.474,,False,,PASSED,,./onnx/14_ieee_ml4acopf-linear-residual.onnx,./vnnlib/14_ieee_prop10.vnnlib,"[""UNKNOWN"",""UNSAT""]","[""UNKNOWN"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/ml4acopf_2024/per_instance_ml4acopf_2024_20260525T145341158939Z.json
cpu,13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.565,,False,,PASSED,,./onnx/14_ieee_ml4acopf-linear-residual.onnx,./vnnlib/14_ieee_prop5.vnnlib,"[""UNKNOWN"",""UNSAT""]","[""UNKNOWN"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/ml4acopf_2024/per_instance_ml4acopf_2024_20260525T145344248327Z.json
cpu,14,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3.466,,False,,PASSED,,./onnx/118_ieee_ml4acopf.onnx,./vnnlib/118_ieee_prop2.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/ml4acopf_2024/per_instance_ml4acopf_2024_20260525T145350651836Z.json
cpu,15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,45.845,,False,,PASSED,,./onnx/118_ieee_ml4acopf.onnx,./vnnlib/118_ieee_prop4.vnnlib,"[""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNKNOWN""]","[""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""UNKNOWN""]","[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/ml4acopf_2024/per_instance_ml4acopf_2024_20260525T145439035291Z.json
cpu,16,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,63.786,UNKNOWN_TIMEOUT,True,True,FAILED,1799.26171875,./onnx/118_ieee_ml4acopf.onnx,./vnnlib/118_ieee_prop3.vnnlib,[],[],[],"watchdog killed instance after 63.8s (status=UNKNOWN_TIMEOUT, peak_rss=1799.3 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/ml4acopf_2024/per_instance_ml4acopf_2024_watchdog_iid16_20260525T145543566392Z.json
cpu,17,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2.945,,False,,PASSED,,./onnx/118_ieee_ml4acopf.onnx,./vnnlib/118_ieee_prop5.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/ml4acopf_2024/per_instance_ml4acopf_2024_20260525T145549645627Z.json
