source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.45,,False,,PASSED,,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_0.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/nn4sys/per_instance_nn4sys_20260525T151222958926Z.json
cpu,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,12.853,,False,,PASSED,,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_1.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/nn4sys/per_instance_nn4sys_20260525T151238362293Z.json
cpu,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,39.606,,False,,PASSED,,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_10.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/nn4sys/per_instance_nn4sys_20260525T151410611856Z.json
cpu,105,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,1.206,,False,,PASSED,,onnx/lindex.onnx,vnnlib/lindex_1.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/nn4sys/per_instance_nn4sys_20260525T152133605771Z.json
cpu,106,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,3.48,,False,,PASSED,,onnx/lindex_deep.onnx,vnnlib/lindex_1.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/nn4sys/per_instance_nn4sys_20260525T152139858921Z.json
cpu,11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6.157,,False,,PASSED,,onnx/pensieve_mid_simple.onnx,vnnlib/pensieve_simple_11.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/nn4sys/per_instance_nn4sys_20260525T151421473934Z.json
cpu,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6.599,,False,,PASSED,,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_12.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/nn4sys/per_instance_nn4sys_20260525T151430735562Z.json
cpu,13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.443,,False,,PASSED,,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_13.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/nn4sys/per_instance_nn4sys_20260525T151434075008Z.json
cpu,14,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6.625,,False,,PASSED,,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_14.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/nn4sys/per_instance_nn4sys_20260525T151443286582Z.json
cpu,15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.434,,False,,PASSED,,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_15.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/nn4sys/per_instance_nn4sys_20260525T151446618653Z.json
