source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,23.657,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_5_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152209058133Z.json
cpu,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,31.123,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_5_0.05.onnx,vnnlib/mnist_fc_vnncomp2022_prop_5_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152242963857Z.json
cpu,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,24.452,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_0_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152611486237Z.json
cpu,11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,32.305,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_0_0.05.onnx,vnnlib/mnist_fc_vnncomp2022_prop_0_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152646914843Z.json
cpu,12,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,2.091,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_12_0.03.vnnlib,"[""UNSAT""]","[""CERTIFIED""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152651710909Z.json
cpu,13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,12.806,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_12_0.03.onnx,vnnlib/mnist_fc_vnncomp2022_prop_12_0.03.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152707436119Z.json
cpu,14,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,25.338,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_7_0.03.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152735980928Z.json
cpu,15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,34.009,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_7_0.03.onnx,vnnlib/mnist_fc_vnncomp2022_prop_7_0.03.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152812555289Z.json
cpu,16,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.126,UNKNOWN_TIMEOUT,True,True,FAILED,1879.578125,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_1_0.05.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1879.6 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_watchdog_iid16_20260525T152851735947Z.json
cpu,17,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.129,UNKNOWN_TIMEOUT,True,True,FAILED,1627.91796875,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_1_0.05.onnx,vnnlib/mnist_fc_vnncomp2022_prop_1_0.05.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1627.9 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_watchdog_iid17_20260525T152929865717Z.json
cpu,18,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.129,UNKNOWN_TIMEOUT,True,True,FAILED,1811.296875,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_7_0.05.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1811.3 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_watchdog_iid18_20260525T153007996055Z.json
cpu,19,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.133,UNKNOWN_TIMEOUT,True,True,FAILED,1895.05078125,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_7_0.05.onnx,vnnlib/mnist_fc_vnncomp2022_prop_7_0.05.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1895.1 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_watchdog_iid19_20260525T153046130564Z.json
cpu,2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5.433,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_3_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152251350451Z.json
cpu,20,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,11.316,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_8_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T153059547791Z.json
cpu,21,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.13,UNKNOWN_TIMEOUT,True,True,FAILED,1832.94921875,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_8_0.05.onnx,vnnlib/mnist_fc_vnncomp2022_prop_8_0.05.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1832.9 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_watchdog_iid21_20260525T153138775243Z.json
cpu,22,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,5.226,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_14_0.03.vnnlib,"[""UNSAT""]","[""CERTIFIED""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T153146143985Z.json
cpu,23,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,14.292,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_14_0.03.onnx,vnnlib/mnist_fc_vnncomp2022_prop_14_0.03.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T153203225811Z.json
cpu,24,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,15.007,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_13_0.03.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T153221443099Z.json
cpu,25,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,29.637,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_13_0.03.onnx,vnnlib/mnist_fc_vnncomp2022_prop_13_0.03.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T153254084565Z.json
cpu,26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,35.301,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_2_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T153332223607Z.json
cpu,27,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.132,UNKNOWN_TIMEOUT,True,True,FAILED,2023.87109375,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_2_0.05.onnx,vnnlib/mnist_fc_vnncomp2022_prop_2_0.05.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=2023.9 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_watchdog_iid27_20260525T153411048264Z.json
cpu,28,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,2.027,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_11_0.03.vnnlib,"[""UNSAT""]","[""CERTIFIED""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T153415180557Z.json
cpu,29,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,22.241,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_11_0.03.onnx,vnnlib/mnist_fc_vnncomp2022_prop_11_0.03.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T153440376696Z.json
cpu,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,18.396,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_3_0.05.onnx,vnnlib/mnist_fc_vnncomp2022_prop_3_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152312818431Z.json
cpu,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,21.507,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_6_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152337373880Z.json
cpu,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,28.17,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_6_0.05.onnx,vnnlib/mnist_fc_vnncomp2022_prop_6_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152408652858Z.json
cpu,6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,11.371,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_0_0.03.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152422869885Z.json
cpu,7,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,21.531,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_0_0.03.onnx,vnnlib/mnist_fc_vnncomp2022_prop_0_0.03.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152447529763Z.json
cpu,8,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,21.455,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4.onnx,vnnlib/mnist_fc_vnncomp2022_prop_4_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152511997248Z.json
cpu,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,29.149,,False,,PASSED,,onnx/mnist_fc_vnncomp2022_mnist-net_256x4_RSPLITTER_mnist_fc_vnncomp2022_prop_4_0.05.onnx,vnnlib/mnist_fc_vnncomp2022_prop_4_0.05.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/relusplitter/per_instance_relusplitter_20260525T152544081801Z.json
