source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu_auto,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.021,,False,,PASSED,,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_418.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.546,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_992.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,10,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,0.195,,False,,PASSED,,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_2330.vnnlib,"[""UNSAT""]","[""CERTIFIED""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,100,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.405,,False,,PASSED,,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_895.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.21,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_6716.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1001,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,0.041,,False,,PASSED,,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_1396.vnnlib,"[""UNSAT""]","[""CERTIFIED""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1002,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.219,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_246.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1003,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.285,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_1411.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1004,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,0.041,,False,,PASSED,,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_1914.vnnlib,"[""UNSAT""]","[""CERTIFIED""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1005,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.529,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_5232.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1006,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.347,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_7002.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1007,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.238,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_5198.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1008,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.382,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_4034.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1009,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.269,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_7084.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,101,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,0.039,,False,,PASSED,,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_1062.vnnlib,"[""UNSAT""]","[""CERTIFIED""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1010,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,0.04,,False,,PASSED,,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_1610.vnnlib,"[""UNSAT""]","[""CERTIFIED""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1011,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,1.114,,False,,PASSED,,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_2110.vnnlib,"[""UNSAT""]","[""CERTIFIED""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1012,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.339,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_4368.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1013,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.345,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_1204.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1014,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.586,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_3177.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1015,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,0.425,,False,,PASSED,,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_168.vnnlib,"[""UNSAT""]","[""CERTIFIED""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1016,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.588,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_5250.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
cpu_auto,1017,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.381,,False,,PASSED,,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_2157.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/safenlp_B_auto/per_instance_safenlp_2024_20260524T130705490472Z.json
