source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu,0,FALSIFIED,SAT,FALSIFIED,FALSIFIED,0.161,,False,,PASSED,,onnx/sat_v30_c38.onnx,vnnlib/sat_v30_c38.vnnlib,"[""SAT""]","[""FALSIFIED""]","[""/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/sat_relu_0_q0_small_dense_lp_witness_0.json""]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/per_instance_sat_relu_20260525T054215016444Z.json
cpu,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.125,,False,,PASSED,,onnx/unsat_v30_c38.onnx,vnnlib/unsat_v30_c38.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/per_instance_sat_relu_20260525T054215016444Z.json
cpu,10,FALSIFIED,SAT,FALSIFIED,FALSIFIED,0.033,,False,,PASSED,,onnx/sat_v6_c27.onnx,vnnlib/sat_v6_c27.vnnlib,"[""SAT""]","[""FALSIFIED""]","[""/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/sat_relu_10_q0_small_dense_lp_witness_0.json""]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/per_instance_sat_relu_20260525T054215016444Z.json
cpu,11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.058,,False,,PASSED,,onnx/unsat_v6_c30.onnx,vnnlib/unsat_v6_c30.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/per_instance_sat_relu_20260525T054215016444Z.json
cpu,12,FALSIFIED,SAT,FALSIFIED,FALSIFIED,0.057,,False,,PASSED,,onnx/sat_v6_c27.onnx,vnnlib/sat_v6_c27.vnnlib,"[""SAT""]","[""FALSIFIED""]","[""/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/sat_relu_12_q0_small_dense_lp_witness_0.json""]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/per_instance_sat_relu_20260525T054215016444Z.json
cpu,13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.056,,False,,PASSED,,onnx/unsat_v6_c30.onnx,vnnlib/unsat_v6_c30.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/per_instance_sat_relu_20260525T054215016444Z.json
cpu,14,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.819,,False,,PASSED,,onnx/sat_v100_c373.onnx,vnnlib/sat_v100_c373.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/per_instance_sat_relu_20260525T054215016444Z.json
cpu,15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.807,,False,,PASSED,,onnx/unsat_v100_c373.onnx,vnnlib/unsat_v100_c373.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/per_instance_sat_relu_20260525T054215016444Z.json
cpu,16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.255,,False,,PASSED,,onnx/sat_v51_c255.onnx,vnnlib/sat_v51_c255.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/per_instance_sat_relu_20260525T054215016444Z.json
cpu,17,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.249,,False,,PASSED,,onnx/unsat_v51_c255.onnx,vnnlib/unsat_v51_c255.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/sat_relu_cpu100_current_20260525/per_instance_sat_relu_20260525T054215016444Z.json
