source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu_smoke,0,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,23.515,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,17515.59765625,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_1126_sidx_4974_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 23.5s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=17515.6 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/tinyimagenet_2024/per_instance_tinyimagenet_2024_watchdog_iid0_20260526T012539607867Z.json
cpu_smoke,1,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,24.515,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,17371.609375,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_6827_sidx_2613_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 24.5s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=17371.6 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/tinyimagenet_2024/per_instance_tinyimagenet_2024_watchdog_iid1_20260526T012604123015Z.json
cpu_smoke,2,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,24.415,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,16722.03515625,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_7943_sidx_6299_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 24.4s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=16722.0 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/tinyimagenet_2024/per_instance_tinyimagenet_2024_watchdog_iid2_20260526T012628538309Z.json
cpu_smoke,3,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,25.616,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,17611.390625,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_9558_sidx_6082_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 25.6s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=17611.4 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/tinyimagenet_2024/per_instance_tinyimagenet_2024_watchdog_iid3_20260526T012654155444Z.json
cpu_smoke,4,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,25.516,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,17497.7578125,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_2341_sidx_4149_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 25.5s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=17497.8 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/tinyimagenet_2024/per_instance_tinyimagenet_2024_watchdog_iid4_20260526T012719672068Z.json
full_r3,10,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,31.324,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24579.12109375,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_5134_sidx_3767_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 31.3s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24579.1 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream3_20260526T025908Z/tinyimagenet_2024/per_instance_tinyimagenet_2024_watchdog_iid10_20260526T044232471404Z.json
full_r3,100,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,29.316,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24618.88671875,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_4686_sidx_8792_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 29.3s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24618.9 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream3_20260526T025908Z/tinyimagenet_2024/per_instance_tinyimagenet_2024_watchdog_iid100_20260526T053201192436Z.json
full_r3,101,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,33.321,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24679.89453125,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_4869_sidx_6523_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 33.3s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24679.9 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream3_20260526T025908Z/tinyimagenet_2024/per_instance_tinyimagenet_2024_watchdog_iid101_20260526T053234513828Z.json
full_r3,102,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,30.718,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24637.88671875,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_8651_sidx_6574_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 30.7s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24637.9 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream3_20260526T025908Z/tinyimagenet_2024/per_instance_tinyimagenet_2024_watchdog_iid102_20260526T053305232197Z.json
full_r3,103,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,29.418,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24648.59375,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_4225_sidx_3038_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 29.4s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24648.6 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream3_20260526T025908Z/tinyimagenet_2024/per_instance_tinyimagenet_2024_watchdog_iid103_20260526T053334651222Z.json
