source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu_smoke,0,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,68.447,UNKNOWN_TIMEOUT,True,True,FAILED,10393.21875,onnx/vgg16-7.onnx,vnnlib/spec0_suit.vnnlib,[],[],[],"watchdog killed instance after 68.4s (status=UNKNOWN_TIMEOUT, peak_rss=10393.2 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/vggnet16_2022/per_instance_vggnet16_2022_watchdog_iid0_20260526T011400289806Z.json
cpu_smoke,1,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,68.607,UNKNOWN_TIMEOUT,True,True,FAILED,9053.60546875,onnx/vgg16-7.onnx,vnnlib/spec1_Scottish_deerhound.vnnlib,[],[],[],"watchdog killed instance after 68.6s (status=UNKNOWN_TIMEOUT, peak_rss=9053.6 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/vggnet16_2022/per_instance_vggnet16_2022_watchdog_iid1_20260526T011508899546Z.json
cpu_smoke,2,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,68.444,UNKNOWN_TIMEOUT,True,True,FAILED,10456.19921875,onnx/vgg16-7.onnx,vnnlib/spec2_Airedale.vnnlib,[],[],[],"watchdog killed instance after 68.4s (status=UNKNOWN_TIMEOUT, peak_rss=10456.2 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/vggnet16_2022/per_instance_vggnet16_2022_watchdog_iid2_20260526T011617344786Z.json
cpu_smoke,3,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,68.75,UNKNOWN_TIMEOUT,True,True,FAILED,11154.5078125,onnx/vgg16-7.onnx,vnnlib/spec3_canoe.vnnlib,[],[],[],"watchdog killed instance after 68.7s (status=UNKNOWN_TIMEOUT, peak_rss=11154.5 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/vggnet16_2022/per_instance_vggnet16_2022_watchdog_iid3_20260526T011726094975Z.json
cpu_smoke,4,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,68.449,UNKNOWN_TIMEOUT,True,True,FAILED,11156.4375,onnx/vgg16-7.onnx,vnnlib/spec4_grille.vnnlib,[],[],[],"watchdog killed instance after 68.4s (status=UNKNOWN_TIMEOUT, peak_rss=11156.4 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/vggnet16_2022/per_instance_vggnet16_2022_watchdog_iid4_20260526T011834545387Z.json
full_r3,10,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,122.087,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24723.76171875,onnx/vgg16-7.onnx,vnnlib/spec10_chainlink_fence.vnnlib,[],[],[],"watchdog killed instance after 122.1s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24723.8 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/vggnet16_2022/per_instance_vggnet16_2022_watchdog_iid10_20260526T035808753682Z.json
full_r3,11,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,122.487,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24631.87890625,onnx/vgg16-7.onnx,vnnlib/spec11_dock.vnnlib,[],[],[],"watchdog killed instance after 122.5s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24631.9 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/vggnet16_2022/per_instance_vggnet16_2022_watchdog_iid11_20260526T040011241955Z.json
full_r3,12,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,122.081,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24620.63671875,onnx/vgg16-7.onnx,vnnlib/spec12_borzoi.vnnlib,[],[],[],"watchdog killed instance after 122.1s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24620.6 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/vggnet16_2022/per_instance_vggnet16_2022_watchdog_iid12_20260526T040213323517Z.json
full_r3,13,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,120.978,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24637.3671875,onnx/vgg16-7.onnx,vnnlib/spec13_pillow.vnnlib,[],[],[],"watchdog killed instance after 121.0s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24637.4 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/vggnet16_2022/per_instance_vggnet16_2022_watchdog_iid13_20260526T040414301855Z.json
full_r3,14,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,121.78,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24651.546875,onnx/vgg16-7.onnx,vnnlib/spec14_mink.vnnlib,[],[],[],"watchdog killed instance after 121.8s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24651.5 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream2_20260526T025908Z/vggnet16_2022/per_instance_vggnet16_2022_watchdog_iid14_20260526T040616084259Z.json
