source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu,0,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,25.418,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,17232.203125,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000005_eps_1_255.vnnlib,[],[],[],"watchdog killed instance after 25.4s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=17232.2 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/yolo_2023/per_instance_yolo_2023_watchdog_iid0_20260525T153509032738Z.json
cpu,1,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,25.517,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,16572.54296875,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000459_eps_1_255.vnnlib,[],[],[],"watchdog killed instance after 25.5s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=16572.5 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/yolo_2023/per_instance_yolo_2023_watchdog_iid1_20260525T153534550688Z.json
cpu,2,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,24.919,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,16463.84375,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000290_eps_1_255.vnnlib,[],[],[],"watchdog killed instance after 24.9s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=16463.8 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/yolo_2023/per_instance_yolo_2023_watchdog_iid2_20260525T153559470442Z.json
cpu,3,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,25.421,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,16475.171875,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000257_eps_1_255.vnnlib,[],[],[],"watchdog killed instance after 25.4s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=16475.2 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/yolo_2023/per_instance_yolo_2023_watchdog_iid3_20260525T153624892739Z.json
cpu,4,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,25.519,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,17236.65234375,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000367_eps_1_255.vnnlib,[],[],[],"watchdog killed instance after 25.5s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=17236.7 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/yolo_2023/per_instance_yolo_2023_watchdog_iid4_20260525T153650412229Z.json
cpu,5,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,24.917,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,17168.30859375,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000039_eps_1_255.vnnlib,[],[],[],"watchdog killed instance after 24.9s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=17168.3 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/yolo_2023/per_instance_yolo_2023_watchdog_iid5_20260525T153715329973Z.json
cpu,6,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,25.421,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,17148.40625,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000082_eps_1_255.vnnlib,[],[],[],"watchdog killed instance after 25.4s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=17148.4 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/yolo_2023/per_instance_yolo_2023_watchdog_iid6_20260525T153740751213Z.json
cpu,7,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,25.019,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,17479.515625,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000296_eps_1_255.vnnlib,[],[],[],"watchdog killed instance after 25.0s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=17479.5 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/yolo_2023/per_instance_yolo_2023_watchdog_iid7_20260525T153805770743Z.json
cpu,8,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,24.016,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,16703.77734375,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000034_eps_1_255.vnnlib,[],[],[],"watchdog killed instance after 24.0s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=16703.8 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/yolo_2023/per_instance_yolo_2023_watchdog_iid8_20260525T153829787193Z.json
cpu,9,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,24.518,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,16637.88671875,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000448_eps_1_255.vnnlib,[],[],[],"watchdog killed instance after 24.5s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=16637.9 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_20260525T144203Z/yolo_2023/per_instance_yolo_2023_watchdog_iid9_20260525T153854305590Z.json
