benchmark,instance_id,onnx,vnnlib,official_zero,official_small,sidecar_verdict,hard_fal,small_tol_only,n_disjuncts,n_candidates,n_replays,n_artifacts,n_reject_pre_replay,best_artifact_path,wall_s,error
cersyve,0,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/lane_keep_pretrain_con.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_lane_keep.vnnlib,sat,sat,sat_replay_failed,0,0,1,528,528,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_0_d0_random_uniform_527.json,0.042,
cersyve,1,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/lane_keep_pretrain_inv.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_lane_keep.vnnlib,sat,sat,sat_zero_tol,1,0,1,56,56,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_1_d0_random_uniform_55.json,0.007,
cersyve,2,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/lane_keep_finetune_con.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_lane_keep.vnnlib,unsat,unsat,sat_replay_failed,0,0,1,528,528,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_2_d0_random_uniform_527.json,0.027,
cersyve,3,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/lane_keep_finetune_inv.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_lane_keep.vnnlib,unsat,unsat,sat_replay_failed,0,0,1,528,528,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_3_d0_random_uniform_527.json,0.027,
cersyve,4,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/pendulum_pretrain_con.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_pendulum.vnnlib,sat,sat,sat_replay_failed,0,0,1,516,516,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_4_d0_random_uniform_515.json,0.026,
cersyve,5,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/pendulum_pretrain_inv.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_pendulum.vnnlib,sat,sat,sat_zero_tol,1,0,1,125,125,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_5_d0_random_uniform_124.json,0.011,
cersyve,6,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/pendulum_finetune_con.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_pendulum.vnnlib,unsat,unsat,sat_replay_failed,0,0,1,516,516,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_6_d0_random_uniform_515.json,0.025,
cersyve,7,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/pendulum_finetune_inv.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_pendulum.vnnlib,unsat,unsat,sat_replay_failed,0,0,1,516,516,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_7_d0_random_uniform_515.json,0.029,
cersyve,8,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/point_mass_pretrain_con.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_point_mass.vnnlib,sat,sat,sat_replay_failed,0,0,1,528,528,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_8_d0_random_uniform_527.json,0.026,
cersyve,9,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/point_mass_pretrain_inv.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_point_mass.vnnlib,sat,sat,sat_zero_tol,1,0,1,49,49,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_9_d0_random_uniform_48.json,0.007,
cersyve,10,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/point_mass_finetune_con.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_point_mass.vnnlib,unsat,unsat,sat_replay_failed,0,0,1,528,528,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_10_d0_random_uniform_527.json,0.026,
cersyve,11,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/onnx/point_mass_finetune_inv.onnx,/data1/Kane/data/vnncomp2025_benchmarks/benchmarks/cersyve/vnnlib/prop_point_mass.vnnlib,unsat,unsat,sat_replay_failed,0,0,1,528,528,1,0,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_strict_fal/cersyve_strict_fal_R93/cersyve_11_d0_random_uniform_527.json,0.028,
