benchmark,instance_id,query_index,source,attempt,zero_tol,small_tol,artifact
malbeware,21,20,hz_walker_lp,0,1,1,malbeware_21_q20_hz_walker_lp_0.json
malbeware,59,20,hz_walker_lp,0,1,1,malbeware_59_q20_hz_walker_lp_0.json
malbeware,71,20,hz_walker_lp,0,1,1,malbeware_71_q20_hz_walker_lp_0.json
malbeware,82,6,hz_walker_lp,0,1,1,malbeware_82_q6_hz_walker_lp_0.json
malbeware,89,20,hz_walker_lp,0,1,1,malbeware_89_q20_hz_walker_lp_0.json
malbeware,94,2,hz_walker_lp,0,1,1,malbeware_94_q2_hz_walker_lp_0.json
malbeware,109,7,hz_walker_lp,0,1,1,malbeware_109_q7_hz_walker_lp_0.json
malbeware,112,7,hz_walker_lp,0,1,1,malbeware_112_q7_hz_walker_lp_0.json
malbeware,121,7,hz_walker_lp,0,1,1,malbeware_121_q7_hz_walker_lp_0.json
malbeware,132,2,hz_walker_lp,0,1,1,malbeware_132_q2_hz_walker_lp_0.json
malbeware,139,7,hz_walker_lp,0,1,1,malbeware_139_q7_hz_walker_lp_0.json
malbeware,143,3,hz_walker_lp,0,1,1,malbeware_143_q3_hz_walker_lp_0.json
malbeware,144,2,hz_walker_lp,0,1,1,malbeware_144_q2_hz_walker_lp_0.json
